displayed_age,hazard_basis_points,annual_death_percent,cumulative_survival_probability,survivors_per_100000
55,67,0.67,0.99329999999999996,99330.000000000000
56,73,0.73,0.98604890999999995,98604.890999999989
57,79,0.79,0.97825912361099998,97825.912361099996
58,86,0.86,0.96984609514794529,96984.609514794531
59,93,0.93,0.96082652646306943,96082.652646306946
60,101,1.01,0.95112217854579240,95112.217854579241
61,109,1.09,0.94075494679964322,94075.494679964322
62,117,1.17,0.92974811392208734,92974.811392208736
63,126,1.26,0.91803328768666914,91803.328768666921
64,135,1.35,0.90563983830289918,90563.983830289915
65,145,1.45,0.89250806064750721,89250.806064750723
66,154,1.54,0.87876343651353561,87876.343651353556
67,164,1.64,0.86435171615471362,86435.171615471365
68,175,1.75,0.84922556112200620,84922.556112200618
69,189,1.89,0.83317519801680029,83317.519801680028
70,204,2.04,0.81617842397725759,81617.842397725763
71,221,2.21,0.79814088080736023,79814.088080736023
72,240,2.40,0.77898549966798358,77898.549966798353
73,262,2.62,0.75857607957668238,75857.607957668239
74,287,2.87,0.73680494609283165,73680.494609283167
75,315,3.15,0.71359559029090747,71359.559029090742
76,351,3.51,0.68854838507169658,68854.838507169654
77,388,3.88,0.66183270773091474,66183.270773091470
78,428,4.28,0.63350626784003161,63350.626784003158
79,472,4.72,0.60360477199798213,60360.477199798210
80,524,5.24,0.57197588194528781,57197.588194528784
81,581,5.81,0.53874408320426659,53874.408320426657
82,643,6.43,0.50410283865423222,50410.283865423226
83,714,7.14,0.46810989597432001,46810.989597432002
84,794,7.94,0.43094197023395897,43094.197023395900
85,887,8.87,0.39271741747420680,39271.741747420681
86,990,9.90,0.35383839314426035,35383.839314426034
87,1107,11.07,0.31466848302319073,31466.848302319071
88,1237,12.37,0.27574399167322200,27574.399167322201
89,1375,13.75,0.23782919281815398,23782.919281815397
90,1528,15.28,0.20148889215554006,20148.889215554005
91,1695,16.95,0.16733652493517601,16733.652493517602
92,1882,18.82,0.13584379094237586,13584.379094237587
93,2086,20.86,0.10750677615179625,10750.677615179626
94,2302,23.02,0.082758716281652767,8275.8716281652760
95,2527,25.27,0.061845588677279122,6184.5588677279120
96,2756,27.56,0.044800944437820990,4480.0944437820990
97,2990,29.90,0.031405462050912519,3140.5462050912520
98,3222,32.22,0.021286622178108505,2128.6622178108505
99,3445,34.45,0.013953380837750124,1395.3380837750124
100,3673,36.73,0.0088283040560445045,882.83040560445045
101,3906,39.06,0.0053799684917535204,537.99684917535205
102,4143,41.43,0.0031510475456200367,315.10475456200368
103,4382,43.82,0.0017702585111293368,177.02585111293368
104,4622,46.22,0.00095204502728535745,95.204502728535743
105,4875,48.75,0.00048792307648374563,48.792307648374560
106,5000,50.00,0.00024396153824187282,24.396153824187280
107,5000,50.00,0.00012198076912093641,12.198076912093640
108,5000,50.00,0.000060990384560468204,6.0990384560468200
109,5000,50.00,0.000030495192280234102,3.0495192280234100
110,5000,50.00,0.000015247596140117051,1.5247596140117050
111,5000,50.00,0.0000076237980700585255,0.76237980700585251
112,5000,50.00,0.0000038118990350292627,0.38118990350292625
113,5000,50.00,0.0000019059495175146314,0.19059495175146313
114,5000,50.00,9.5297475875731568e-7,0.095297475875731563
115,5000,50.00,4.7648737937865784e-7,0.047648737937865782
116,5000,50.00,2.3824368968932892e-7,0.023824368968932891
117,5000,50.00,1.1912184484466446e-7,0.011912184484466445
118,5000,50.00,5.9560922422332230e-8,0.0059560922422332227
119,5000,50.00,2.9780461211166115e-8,0.0029780461211166113
120,5000,50.00,1.4890230605583058e-8,0.0014890230605583057
121,5000,50.00,7.4451153027915288e-9,0.00074451153027915284
122,5000,50.00,3.7225576513957644e-9,0.00037225576513957642
